Date,Open,High,Low,Close,Volume,sentiment_negative,sentiment_neutral,sentiment_positive,sentiment_score
9/18/2023,176.4800,179.3800,176.1700,177.9700,67260000.0000,0.0363,0.8375,0.1261,0.6150
9/19/2023,177.5200,179.6300,177.1300,179.0700,51830000.0000,0.0325,0.8642,0.1033,0.6001
9/20/2023,179.2600,179.7000,175.4000,175.4900,58440000.0000,0.0287,0.8632,0.1081,0.5479
9/21/2023,174.5500,176.3000,173.8600,173.9300,63150000.0000,0.0488,0.8440,0.1072,0.5885
9/22/2023,174.6700,177.0800,174.0500,174.7900,56730000.0000,0.0346,0.8543,0.1111,0.4919
9/25/2023,174.2000,176.9700,174.1500,176.0800,46170000.0000,0.0365,0.8851,0.0783,0.4837
9/26/2023,174.8200,175.2000,171.6600,171.9600,64590000.0000,0.0549,0.8185,0.1266,0.2017
9/27/2023,172.6200,173.0400,169.0500,170.4300,66920000.0000,0.0318,0.8756,0.0924,0.7011
9/28/2023,169.3400,172.0300,167.6200,170.6900,56290000.0000,0.0399,0.8764,0.0837,0.4465
9/29/2023,172.0200,173.0700,170.3400,171.2100,51860000.0000,0.0476,0.8603,0.0923,0.4500
10/2/2023,171.2200,174.3000,170.9300,173.7500,52160000.0000,0.0252,0.8516,0.1232,0.4292
10/3/2023,172.2600,173.6300,170.8200,172.4000,49590000.0000,0.0395,0.8647,0.0958,0.5007
10/4/2023,171.0900,174.2100,170.9700,173.6600,53020000.0000,0.0403,0.8774,0.0823,0.4499
10/5/2023,173.7900,175.4500,172.6800,174.9100,48530000.0000,0.0343,0.8629,0.1028,0.4764
10/6/2023,173.8000,177.9900,173.1800,177.4900,57270000.0000,0.0372,0.8744,0.0885,0.4331
10/9/2023,176.8100,179.0500,175.8000,178.9900,42390000.0000,0.0278,0.8837,0.0884,0.5242
10/10/2023,178.1000,179.7200,177.9500,178.3900,43700000.0000,0.0347,0.8531,0.1123,0.6617
10/11/2023,178.2000,179.8500,177.6000,179.8000,47550000.0000,0.0231,0.8410,0.1360,0.6852
10/12/2023,180.0700,182.3400,179.0400,180.7100,56740000.0000,0.0675,0.7818,0.1507,0.4633
10/13/2023,181.4200,181.9300,178.1400,178.8500,51460000.0000,0.0277,0.8591,0.1132,0.4787
10/16/2023,176.7500,179.0700,176.5100,178.7200,52520000.0000,0.0317,0.8534,0.1148,0.5540
10/17/2023,176.6500,178.4200,174.8000,177.1500,57550000.0000,0.0340,0.8698,0.0962,0.5226
10/18/2023,175.5800,177.5700,175.1100,175.8400,54760000.0000,0.0275,0.8508,0.1217,0.6493
10/19/2023,176.0400,177.8400,175.1900,175.4600,59300000.0000,0.0292,0.8417,0.1291,0.5485
10/20/2023,175.3100,175.4200,172.6400,172.8800,64240000.0000,0.0318,0.8530,0.1151,0.6139
10/23/2023,170.9100,174.0100,169.9300,173.0000,55980000.0000,0.0354,0.8874,0.0772,0.3313
10/24/2023,173.0500,173.6700,171.4500,173.4400,43820000.0000,0.0204,0.8982,0.0814,0.6665
10/25/2023,171.8800,173.0600,170.6500,171.1000,57160000.0000,0.0321,0.8780,0.0898,0.5220
10/26/2023,170.3700,171.3800,165.6700,166.8900,70630000.0000,0.0440,0.8373,0.1188,0.3500
10/27/2023,166.9100,168.9600,166.8300,168.2200,58500000.0000,0.0406,0.8570,0.1025,0.3757
10/30/2023,169.0200,171.1700,168.8700,170.2900,51130000.0000,0.0356,0.8769,0.0876,0.5725
10/31/2023,169.3500,170.9000,167.9000,170.7700,44850000.0000,0.0342,0.8784,0.0875,0.5322
11/1/2023,171.0000,174.2300,170.1200,173.9700,56930000.0000,0.0372,0.8409,0.1220,0.5580
11/2/2023,175.5200,177.7800,175.4600,177.5700,77330000.0000,0.0360,0.8847,0.0792,0.4582
11/3/2023,174.2400,176.8200,173.3500,176.6500,79830000.0000,0.0547,0.8420,0.1034,0.4191
11/6/2023,176.3800,179.4300,176.2100,179.2300,63840000.0000,0.0461,0.8381,0.1157,0.4939
11/7/2023,179.1800,182.4400,178.9700,181.8200,70530000.0000,0.0355,0.8673,0.0973,0.4520
11/8/2023,182.3500,183.4500,181.5900,182.8900,49340000.0000,0.0447,0.8360,0.1193,0.4139
11/9/2023,182.9600,184.1200,181.8100,182.4100,53760000.0000,0.0373,0.8645,0.0983,0.4812
11/10/2023,183.9700,186.5700,183.5300,186.4000,66180000.0000,0.0234,0.8833,0.0932,0.5566
11/13/2023,185.8200,186.0300,184.2100,184.8000,43630000.0000,0.0286,0.8574,0.1141,0.5723
