date,sentiment_negative,sentiment_neutral,sentiment_positive,sentiment_score
2021-12-16,0.05809375,0.87575,0.06615625,0.2920625
2021-12-17,0.037285715,0.87546426,0.08732143,0.47389287
2021-12-20,0.064052634,0.8710526,0.06468421,0.22731578
2021-12-21,0.039964285,0.8340357,0.12592857,0.7502143
2021-12-22,0.036642857,0.8557857,0.10757143,0.6000357
2021-12-23,0.0362,0.86626667,0.09746667,0.70573336
2021-12-27,0.024130436,0.87134784,0.104347825,0.6726087
2021-12-28,0.020142857,0.8803265,0.099530615,0.63569385
2021-12-29,0.04271875,0.87834376,0.07890625,0.37428126
2021-12-30,0.037964284,0.83682144,0.12496429,0.42592856
2021-12-31,0.04046154,0.8686923,0.09084615,0.45815384
2022-01-03,0.021833334,0.8630555,0.11511111,0.7389445
2022-01-04,0.026789473,0.87692106,0.096368425,0.6013947
2022-01-05,0.03528,0.88104,0.08372,0.43152
2022-01-06,0.0205,0.8942308,0.08523077,0.58680767
2022-01-07,0.023911765,0.87361765,0.10255882,0.65179414
2022-01-10,0.029333333,0.8815455,0.089121215,0.50742424
2022-01-11,0.02173913,0.88134784,0.09708696,0.5588261
2022-01-12,0.02631579,0.87186843,0.10173684,0.63971055
2022-01-13,0.024585366,0.87707317,0.098390244,0.67743903
2022-01-14,0.0318,0.87348,0.09476,0.59376
2022-01-18,0.030384615,0.8737436,0.09579487,0.6439231
2022-01-19,0.02971875,0.87346876,0.09678125,0.67525
2022-01-20,0.035410255,0.88620514,0.07848718,0.48317948
2022-01-21,0.03940476,0.86266667,0.098,0.60119045
2022-01-24,0.03526,0.87098,0.09384,0.4853
2022-01-25,0.03136111,0.8845556,0.084,0.5988611
2022-01-26,0.040305555,0.8839722,0.075666666,0.44325
2022-01-27,0.033092592,0.8733148,0.09364815,0.5223333
2022-01-28,0.05192771,0.8431807,0.104903616,0.45444578
2022-01-31,0.035372093,0.8725116,0.092139535,0.58939534
2022-02-01,0.029210526,0.8783947,0.0925,0.6540263
2022-02-02,0.030875,0.880725,0.088425,0.59825
2022-02-03,0.05015873,0.87926984,0.07060318,0.2964127
2022-02-04,0.03790698,0.86090696,0.101093024,0.57711625
2022-02-07,0.037925,0.85195,0.110175,0.5574
2022-02-08,0.04165909,0.8609091,0.097272724,0.6090909
2022-02-09,0.034468085,0.8561277,0.1093617,0.6367021
2022-02-10,0.03330303,0.85245454,0.11430303,0.72530305
2022-02-11,0.036576923,0.867,0.09646154,0.66911536
2022-02-14,0.048333332,0.83144444,0.1202963,0.4958889
2022-02-15,0.02442857,0.88390476,0.09157143,0.32257143
2022-02-16,0.041805554,0.8437778,0.11438889,0.64125
2022-02-17,0.04145946,0.85524327,0.103216216,0.43537837
2022-02-18,0.06404167,0.86408335,0.07195833,0.29383335
2022-02-22,0.039260868,0.8716087,0.08908696,0.61517394
2022-02-23,0.03662963,0.85925925,0.10425926,0.6838148
2022-02-24,0.04914815,0.85962963,0.09122222,0.41307408
2022-02-25,0.0393125,0.8510625,0.1095,0.546
2022-02-28,0.03175862,0.882069,0.086,0.4920345
2022-03-01,0.05886667,0.88196665,0.059266668,-0.020266667
2022-03-02,0.048195653,0.87102175,0.08086956,0.26417392
2022-03-03,0.0385625,0.89,0.071375,0.29390624
2022-03-04,0.051444445,0.8723889,0.07611111,0.16927777
2022-03-07,0.07345238,0.8436667,0.08302381,0.12635714
2022-03-08,0.049238805,0.8748955,0.075940296,0.32246268
2022-03-09,0.04494872,0.86028206,0.0948718,0.3889487
2022-03-10,0.051,0.8572308,0.09179487,0.35984614
2022-03-11,0.048172414,0.85196555,0.09979311,0.5171724
2022-03-14,0.059487805,0.86765856,0.07290244,0.016536586
2022-03-15,0.049733333,0.85536665,0.0949,0.5291
2022-03-16,0.04366667,0.8595833,0.096708335,0.3345
2022-03-17,0.032685716,0.87605715,0.091142856,0.5357714
2022-03-18,0.028708333,0.87204164,0.099375,0.5442917
2022-03-21,0.051125,0.866375,0.08254167,0.00175
2022-03-22,0.04672,0.8544,0.09904,0.5966
2022-03-23,0.029310346,0.86306894,0.10768966,0.564
2022-03-24,0.03682857,0.8538857,0.10937143,0.5232857
2022-03-25,0.03708333,0.8531111,0.10972222,0.49358332
2022-03-28,0.031263158,0.8437368,0.12494737,0.56492984
2022-03-29,0.05540625,0.81815624,0.1265,0.5265313
2022-03-30,0.036392156,0.8347647,0.12884314,0.6402353
2022-03-31,0.05594872,0.8745385,0.06946154,0.27853847
2022-04-01,0.044918917,0.85527027,0.099756755,0.46402702
2022-04-04,0.030366667,0.87306666,0.0966,0.54253334
2022-04-05,0.017130435,0.888,0.094956525,0.5153913
2022-04-06,0.045925926,0.8601111,0.09381481,0.45666668
2022-04-07,0.03969565,0.85826087,0.102130435,0.41865218
2022-04-08,0.029961538,0.8654615,0.10469231,0.5553077
2022-04-11,0.041166667,0.8677222,0.09111111,0.44275
2022-04-12,0.05203226,0.86477417,0.08325806,0.4459032
2022-04-13,0.033969697,0.8728485,0.09315152,0.47672728
2022-04-14,0.03348387,0.8547742,0.1116129,0.3956129
2022-04-18,0.042041667,0.852,0.10583334,0.75325
2022-04-19,0.045551725,0.85068965,0.10393103,0.5515862
2022-04-20,0.0422,0.868,0.0898,0.55693334
2022-04-21,0.04719355,0.85280645,0.1,0.59932256
2022-04-22,0.036805555,0.8683611,0.09483334,0.44277778
2022-04-25,0.057793103,0.85089654,0.091310345,0.37748277
2022-04-26,0.058595743,0.8603617,0.08089361,0.2625319
2022-04-27,0.049405407,0.86497295,0.085621625,0.33824325
2022-04-28,0.049133334,0.86326665,0.087683335,0.32318333
2022-04-29,0.06077922,0.8479351,0.09132467,0.20397402
2022-05-02,0.067795455,0.84909093,0.083136365,0.09956818
2022-05-03,0.047551725,0.85603446,0.09648276,0.39886206
2022-05-04,0.055148147,0.8691852,0.07577778,0.38196295
2022-05-05,0.04615,0.88405,0.06985,0.25015
2022-05-06,0.07083333,0.84025,0.08891667,0.15558334
2022-05-09,0.05953333,0.84533334,0.0951,0.41526666
2022-05-10,0.04104,0.89196,0.06692,0.24628
2022-05-11,0.043333333,0.87191665,0.08470833,0.48320833
2022-05-12,0.045041665,0.87204164,0.08289583,0.3030625
2022-05-13,0.045564104,0.8765641,0.07782051,0.31982052
2022-05-16,0.038473684,0.8734211,0.088,0.31168422
2022-05-17,0.026884615,0.86957693,0.10353846,0.5748846
2022-05-18,0.06368966,0.8555517,0.080758624,0.28817242
2022-05-19,0.04884375,0.85109377,0.1001875,0.4625625
2022-05-20,0.04884375,0.8555,0.09559375,0.41196874
2022-05-23,0.03840625,0.86765623,0.093875,0.5566875
2022-05-24,0.07303333,0.7963333,0.13066667,0.45873332
2022-05-25,0.05151724,0.8676207,0.08082759,0.24682759
2022-05-26,0.044409093,0.8922727,0.06334091,0.34022728
2022-05-27,0.05904348,0.86352175,0.077434786,0.43113044
2022-05-31,0.0471875,0.8538125,0.099,0.2788125
2022-06-01,0.040736843,0.87284213,0.08636842,0.5421579
2022-06-02,0.0405,0.87063634,0.088954546,0.3330909
2022-06-03,0.051967744,0.8607742,0.08719355,0.34664515
2022-06-06,0.03930645,0.8618871,0.09885484,0.60175806
2022-06-07,0.048046876,0.8640937,0.087890625,0.43053126
2022-06-08,0.035454545,0.8708485,0.09378788,0.62372726
2022-06-09,0.041475,0.87605,0.0824,0.436025
2022-06-10,0.045916665,0.8520833,0.101958334,0.3613125
2022-06-13,0.03932258,0.8860645,0.07458065,0.31719354
2022-06-14,0.038119048,0.87457144,0.087309524,0.5505952
2022-06-15,0.03945,0.8664,0.094175,0.5605
2022-06-16,0.046058822,0.8653529,0.08841176,0.4712941
2022-06-17,0.060307693,0.8263077,0.11334615,0.36796153
2022-06-21,0.039178573,0.8769643,0.08378571,0.58842856
2022-06-22,0.021789474,0.8630526,0.115157895,0.6739474
2022-06-23,0.03875,0.8700357,0.091107145,0.49928573
2022-06-24,0.02782143,0.86375,0.1085,0.43992856
